f1,f2,f3
0.801722533984457,0.77333195107983,3.00560049412749
0.790314085971105,0.790309625514536,2.9669133903084
0.77333590571582,0.801717356371782,3.00559928302801
0.780531299056771,0.808600130311465,2.93827893795551
0.728284469177311,0.728333119625041,3.74394824887831
0.811857446774998,0.771914733399387,2.97478283296724
0.771911802506051,0.81186001962724,2.97479092294542
0.808600340565608,0.78053826082295,2.93824115371239
0.785306016016649,0.785311895028213,3.01691840249018
0.795151122936618,0.795134249241059,2.92133762344271
0,0,6.00000000280942
