f1,f2,f3
0,0,6
0.024361643071568,0.035836804951625,5.92238186554247
0.147266927538603,0.010839474229574,5.69597603153013
0.008647913525106,0.00035138675082,5.99033126213393
0.024653866804679,0.008975818670647,5.95993481964846
0.024577451411198,0.037104293328667,5.9199634681486
0.119175493118896,0.031055777104217,5.73337473807432
0.024567364709944,0.009193570241207,5.95980578285122
0.147157930400098,0.009732516641163,5.71496982116785
0.213473419412686,0.232175052268956,5.17200664563255
0,0.246143911792031,5.57359692240512
0.022888466119526,0.244192580758184,5.5461619495201
