,problem,num_obj,iteration,iRVEA_solutions,iNSGA_solutions
0,DTLZ1,3,1,"[[ 4.71705582 22.57304614  6.40471142]
 [ 6.8735397  24.82690152  2.79494376]
 [ 6.6299506  24.99462476  2.81887657]
 [ 9.66339086 22.74811271  1.53657214]
 [ 3.47612053 29.01946114  1.09312609]
 [29.01278214  2.75966878  1.45659942]
 [ 0.2067773  32.53527177  1.76051484]
 [ 4.98199687  3.97796662 24.33543373]
 [ 6.88690081 24.50887787  3.38149232]]","[[ 4.8127816  17.85836724  0.41084838]
 [ 2.08173267 15.92952656  3.78870208]
 [ 2.25925428 17.78379811  1.66111088]
 [ 4.05566566 16.07277782  1.7761019 ]
 [ 4.52072188 18.35512684  0.29868321]
 [ 2.32515518 17.50964566  2.1404448 ]
 [ 0.          0.         24.69876171]
 [ 2.72220146 20.69752333  0.        ]
 [ 0.05874854  0.45949134 22.78718356]
 [ 2.21646935 17.46666323  2.84236929]
 [ 0.         22.27953171  0.        ]
 [ 5.15923234 16.59373708  0.15352482]]"
1,DTLZ1,3,2,"[[ 2.40939566  7.72468257 16.10897976]
 [ 2.43786028  7.69681355 16.46488991]
 [ 4.33160565 17.68484164  4.07609981]
 [ 2.0774142   8.17367362 16.37920005]
 [ 2.26639561  7.64424416 16.65431796]
 [ 3.66709694  6.40713065 16.37494391]
 [ 2.05631603  1.40953159 22.62764544]
 [ 0.36845878  6.08516695 19.6490123 ]
 [ 1.92632789  7.95867122 16.60335539]
 [ 2.06707364  7.68020536 16.49033066]
 [ 1.9687974   8.1484324  16.45977013]
 [ 2.38666338  7.99398193 16.18191598]
 [ 0.37981162 10.66293954 15.18412731]
 [ 2.18455287  7.88608415 16.38045633]
 [14.98503856  6.91953317  4.50031048]]","[[0.00000000e+00 1.59723667e+01 0.00000000e+00]
 [0.00000000e+00 3.91854290e+00 1.14936426e+01]
 [2.51430440e-01 3.01299149e+00 1.22597213e+01]
 [3.56289416e-01 2.54706713e+00 1.08904155e+01]
 [0.00000000e+00 0.00000000e+00 1.61646765e+01]
 [0.00000000e+00 2.96317882e+00 1.27386619e+01]
 [1.93103109e-01 2.36383558e+00 1.29359631e+01]
 [0.00000000e+00 1.02077422e-01 1.42190317e+01]
 [0.00000000e+00 1.53508981e+01 1.80634082e-01]
 [8.43405756e-01 1.25676776e+01 0.00000000e+00]
 [2.20543234e-05 1.01267378e-01 1.41414753e+01]
 [0.00000000e+00 1.38488186e+01 3.07602937e-01]]"
2,DTLZ1,3,3,"[[ 0.          0.         20.5212561 ]
 [ 1.67635217  1.96118847 14.43288903]
 [ 3.05317787  1.05244846 14.15537941]
 [ 1.84460944  1.7860974  14.40037404]
 [ 3.01160841 11.24132284  3.99380476]
 [ 0.22593738  3.37680408 14.21178578]
 [ 2.09358498  1.754566   15.30989805]
 [11.90607601  4.12971398  4.10247524]]","[[0.00000000e+00 4.23317978e-01 5.98880405e+00]
 [8.74953910e-01 5.60162981e+00 9.74659472e-02]
 [3.57009349e-03 6.37640804e-01 5.98117710e+00]
 [0.00000000e+00 0.00000000e+00 6.49795581e+00]
 [0.00000000e+00 6.50184099e+00 0.00000000e+00]
 [3.71768893e-02 1.21908623e+00 5.23585049e+00]
 [9.01808908e-03 2.97941976e-01 6.35907081e+00]
 [0.00000000e+00 6.39595450e+00 9.59031670e-02]
 [5.99940482e-05 1.25387982e-01 6.36514493e+00]
 [4.54048443e-02 1.42302847e+00 5.08615957e+00]
 [1.78391039e-02 5.52136098e-01 5.93253834e+00]
 [2.01004232e-02 6.21056866e-01 5.90153171e+00]]"
3,DTLZ1,3,4,"[[ 6.78158168  8.81804879  1.19275916]
 [ 6.09663255  8.08147455  2.5376509 ]
 [ 6.12153923 10.37345499  0.13200762]
 [ 6.66118248  8.46290123  1.46556555]
 [ 6.68220615  8.79047114  1.30997375]
 [ 8.07643731  7.98521113  0.54610126]
 [12.69656198  2.50604559  1.40324192]
 [ 6.88046739  8.48111704  1.26945561]
 [ 6.766544    8.57720332  1.3056148 ]
 [ 2.39116186  2.21462088 11.9852951 ]
 [ 0.54955187 15.38987753  0.5981256 ]]","[[1.58838044e-01 6.23031117e+00 9.17833918e-03]
 [4.20445284e-03 5.83038906e+00 5.49312061e-01]
 [4.48011983e-01 5.32121011e+00 6.14541908e-01]
 [6.89567182e-05 1.12705828e-01 6.28395640e+00]
 [5.66269999e-03 2.22274505e-01 6.16875672e+00]
 [0.00000000e+00 6.38205570e+00 0.00000000e+00]
 [7.80689740e-03 6.37425235e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 6.38142963e+00]
 [4.82379519e-01 5.89979520e+00 0.00000000e+00]
 [2.24584023e-03 8.07044576e-02 6.31381463e+00]
 [1.76965045e-02 2.13510276e-01 6.16728044e+00]
 [2.83338946e-03 3.31168580e-02 6.34754486e+00]]"
4,DTLZ1,3,5,"[[ 0.          0.         13.93790024]
 [ 1.30720765  1.31070326 10.41537428]
 [ 1.30594141  1.32090868  9.73464364]
 [ 5.94024204  4.88735349  3.0935771 ]
 [ 3.95230191  6.91829681  3.07220092]
 [ 2.28552358  3.69042911  8.09906986]
 [ 1.201341    1.41872911  9.70748772]
 [ 1.41181405  1.19837617  9.86012559]
 [ 1.30352166  1.31443664 11.32741352]]","[[0.00000000e+00 6.38097798e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 6.30302847e+00]
 [3.22286006e-02 6.58659973e-01 5.61575612e+00]
 [9.30712269e-02 1.25025885e+00 4.96135888e+00]
 [1.87390024e-04 6.41927324e-04 6.30289132e+00]
 [1.43921813e-01 4.86809456e-01 5.67395962e+00]
 [5.65854200e-01 5.72558610e+00 8.64012102e-02]
 [1.67013561e-01 4.32680064e-01 5.66190823e+00]
 [6.26808951e-02 1.27763858e+00 4.96631651e+00]
 [1.54867798e-03 1.58609350e-02 6.28560433e+00]
 [6.25095274e-02 1.27743578e+00 4.96669938e+00]
 [4.21571180e-02 5.58843114e-01 5.66134655e+00]]"
5,DTLZ1,3,6,"[[ 1.16628216  1.16201824  9.8133689 ]
 [ 1.29875914  1.05097286  9.32801126]
 [ 1.20580738  1.02880769  9.39990784]
 [ 1.02946447  1.20737961  9.40921805]
 [ 4.9090813   3.94939433  2.82206277]
 [ 0.          0.         10.32158247]
 [ 1.6749888   3.39050088  6.63908658]
 [ 3.21586052  6.22797571  2.66732417]
 [ 1.31549778  1.13794603  9.24828496]]","[[0.00000000e+00 6.25550225e+00 0.00000000e+00]
 [0.00000000e+00 2.82195299e-01 2.87025673e+00]
 [0.00000000e+00 0.00000000e+00 3.06506268e+00]
 [0.00000000e+00 6.22862485e+00 1.71913718e-03]
 [4.75987898e-04 2.84260286e+00 4.42157458e-02]
 [1.89648646e-05 3.12056269e-01 2.77030117e+00]
 [0.00000000e+00 4.01230887e+00 5.46688256e-02]
 [2.93809654e-05 1.75422177e-01 2.97811321e+00]
 [7.36433506e-06 3.46901370e+00 0.00000000e+00]]"
6,DTLZ1,3,7,"[[0.3759796  1.23571776 5.95913907]
 [0.55659321 0.64919858 5.09364672]
 [1.05663369 3.5079758  1.64827516]
 [2.79994954 1.80493936 1.56473668]
 [0.64938883 0.55022193 5.06762299]
 [0.         0.         6.43621863]
 [0.5539074  0.68661257 4.9469037 ]
 [0.57036073 0.56990781 4.83502787]]","[[1.82184769e-10 2.26056633e-01 2.29206691e+00]
 [0.00000000e+00 5.57312000e-01 2.23212151e+00]
 [9.27047522e-03 2.08961994e-01 2.57528944e+00]
 [4.64851301e-08 5.42326573e-01 2.24664519e+00]
 [0.00000000e+00 0.00000000e+00 2.79287674e+00]
 [0.00000000e+00 2.78905610e+00 0.00000000e+00]
 [1.81112468e-06 8.63960303e-03 2.78446457e+00]
 [9.42387163e-07 2.66695696e-02 2.76642758e+00]
 [2.89371611e-07 8.65491867e-03 2.78444800e+00]
 [1.20918641e-01 2.66510444e+00 3.51083515e-03]
 [4.59038217e-08 5.42201248e-01 2.24676971e+00]
 [1.49535522e-02 1.86317742e-01 2.59180610e+00]]"
7,DTLZ1,3,8,"[[0.28093014 0.32918539 2.56576838]
 [0.3444175  0.27809181 2.47495596]
 [0.32943698 0.2805213  2.56510611]
 [0.30293918 0.34740219 2.45406753]
 [0.31606771 0.31632871 2.50638636]
 [0.44588758 2.10531824 0.57010414]
 [0.27894537 0.34539637 2.47627317]
 [0.33648101 0.33670903 2.47440676]
 [1.42629823 1.11905342 0.56623389]
 [0.07616188 0.50212573 2.18371803]
 [0.         0.         3.10047002]
 [0.30343525 0.30372982 2.62652943]]","[[0.00000000e+00 1.79770764e+00 0.00000000e+00]
 [1.18876596e-02 1.18283979e-01 1.56101244e+00]
 [4.39672024e-03 1.32520593e-01 1.55401676e+00]
 [9.27880579e-08 6.15734480e-04 1.69048767e+00]
 [0.00000000e+00 0.00000000e+00 1.69074220e+00]
 [0.00000000e+00 3.27117622e-01 1.36365149e+00]
 [1.28455923e-04 3.17323117e-01 1.37331250e+00]
 [1.79024721e-02 3.51342413e-01 1.32152752e+00]
 [2.22270228e-03 1.68759247e+00 0.00000000e+00]
 [1.77483575e-01 1.50063687e+00 1.26623728e-02]
 [2.22346920e-02 1.07196511e-01 1.56130601e+00]
 [0.00000000e+00 6.49183082e-04 1.69010237e+00]]"
8,DTLZ2,3,1,"[[1.14821367e-01 2.53871522e-01 9.73717495e-01]
 [9.93034290e-04 1.36582649e-01 9.95243941e-01]
 [5.47513739e-17 2.78731513e-17 1.00335837e+00]
 [6.12421168e-17 1.00015967e+00 1.74996523e-01]
 [1.19659728e-01 2.60582767e-01 9.61471421e-01]
 [2.40576231e-17 3.92890802e-01 9.32545049e-01]
 [2.61273830e-01 1.49193528e-01 9.81241584e-01]
 [1.23982923e-01 2.46004379e-01 9.64206250e-01]
 [7.10537034e-02 2.77593532e-01 9.61791468e-01]
 [1.00276339e+00 9.13464348e-02 4.43161768e-02]]","[[7.89111578e-02 2.16743795e-01 9.76143508e-01]
 [7.42544724e-02 2.19322035e-01 9.78061523e-01]
 [6.14814332e-17 1.00406800e+00 0.00000000e+00]
 [8.53360555e-02 2.34657843e-01 9.71311154e-01]
 [7.70934606e-02 2.37558240e-01 9.70948432e-01]
 [1.45215637e-01 1.72777046e-01 9.76096682e-01]
 [2.44328738e-01 2.96270797e-01 9.27289536e-01]
 [7.92735031e-02 2.25071326e-01 9.75110679e-01]
 [2.39708401e-17 3.91473527e-01 9.24658383e-01]
 [4.23138496e-02 1.24972310e-01 9.96436134e-01]
 [7.90332657e-03 2.19572965e-01 9.78684058e-01]
 [8.80979971e-02 2.25469621e-01 9.72995773e-01]]"
9,DTLZ2,3,2,"[[6.13532788e-17 1.00197508e+00 0.00000000e+00]
 [1.39573555e-01 9.87506135e-01 1.24218671e-01]
 [2.43440411e-01 9.76346644e-01 0.00000000e+00]
 [1.31157733e-01 9.94744286e-01 1.08835357e-01]
 [1.09059463e-01 9.89621272e-01 1.23488939e-01]
 [1.05777247e-01 9.86245151e-01 1.34351774e-01]
 [1.00062836e+00 0.00000000e+00 0.00000000e+00]
 [3.75519394e-33 6.13269710e-17 1.00154544e+00]
 [1.19250643e-01 9.88652275e-01 1.11343526e-01]
 [1.19073895e-01 9.85933773e-01 1.40581026e-01]
 [5.99009271e-17 9.78256379e-01 2.44174220e-01]]","[[7.05506910e-02 9.95559948e-01 7.61600287e-02]
 [7.49325677e-02 9.95396106e-01 6.72786660e-02]
 [7.04961623e-02 9.95090478e-01 8.20118304e-02]
 [5.72886040e-17 2.17161424e-17 1.00055667e+00]
 [1.72175942e-03 1.00249474e+00 1.27671948e-03]
 [2.52034718e-01 9.68717770e-01 0.00000000e+00]
 [8.31448157e-02 9.94318406e-01 7.53657461e-02]
 [9.98308567e-02 9.93407123e-01 6.48733315e-02]
 [9.14568198e-02 9.93598279e-01 7.53567259e-02]
 [8.27449204e-02 9.94797207e-01 6.70207083e-02]
 [1.02018049e+00 1.23663944e-01 6.08526682e-02]
 [4.18275035e-02 9.69096832e-01 2.70862999e-01]]"
