f1,f2,f3
0,0,6
0.004364238117392,0.048063026303256,5.92648216685799
0.251685482449162,0.01239942095314,5.55935029749363
0.006877384641911,0.175550114827362,5.64245610356628
0.228934442712513,0.012319578970895,5.73715755793867
0.003723480994037,0.026491704381907,5.96310962235121
0.051474394723118,0.026866138268711,5.89331191116935
0.005244986737319,0.037195353296718,5.94456579505516
0.007098404840852,0.012104899248851,5.97894549759752
0,0.000700032649394,5.99929793405209
0.227072738450352,0.012348844188145,5.56975011223906
0.000193265372073,0,5.99984793504562
