Iteration;y0;y1;y2;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;nds_rank
0;1.3122898098291254e-32;2.143131898507868e-16;3.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0
1;1.5615826965075907;0.8552072711138727;0.6642762808667362;0.22733907496470684;0.31897222781086315;0.9782228962142042;0.4555849078398816;0.3080127672241045;0.2638708407847434;0.08674343524061154;0.4193722107615441;0.015910359162008152;0.5277647912734846;0.8688014561029221;0.3308392483284089;32
2;0.7062349907069791;1.2579679832395825;1.023907972572991;0.3929423094682724;0.6743304261625597;0.6723172679283064;0.6940315805630743;0.345972940142589;0.9295281899282998;0.26258377542980155;0.7507627271173752;0.25489406231803563;0.8512945852591958;0.17405276215409465;0.7907635063278698;25
3;0.1176895458981086;0.10014154449328602;1.5722320299022277;0.937629338099884;0.44882579686426777;0.3846495606758195;0.3574752406567358;0.19335562029597655;0.10047397400898693;0.4826369060214723;0.6137034698600802;0.9512483469146268;0.34875637839487783;0.2765147037259048;0.4465058894916247;4
4;0.1203935889894564;0.034890819041975094;1.893310654759336;0.9579137283770012;0.17957689527282367;0.1427157448075305;0.0835080976309369;0.5472351241514186;0.3102092434077008;0.2827197242661844;0.9209935430833956;0.43334216332507625;0.4187572290467387;0.986223144785732;0.7935699992595294;4
5;0.999748084319327;0.5100680096819614;0.6716439722784561;0.3433051000303709;0.3003390803330389;0.5039551452320009;0.6232558233725032;0.6569723169399379;0.2591357705003829;0.4051990619429587;0.6672607688236578;0.4395013104873389;0.7817355118946625;0.684628919587551;0.7366744612101839;26
6;0.08190523099202593;1.1313470153854903;1.097228614846395;0.4894228626404583;0.9539914123441358;0.15373916808821464;0.6491188519422088;0.5574135285784944;0.8685315759468638;0.1436280140106033;0.4479043446353284;0.6592333200034688;0.6617097946517924;0.8385666380267304;0.5325575946204156;6
7;1.6012376375142576;0.24227453195502235;0.10098413740583782;0.039646095900967175;0.09559835271513938;0.7988949692207032;0.4023884882884625;0.6824519548418178;0.5019234906284922;0.3971778115547323;0.7858166928171224;0.95133614008443;0.25795460432183503;0.5198816807121319;0.8681035485991511;4
8;1.2211399535343446;0.21313396827193995;1.0906469788754418;0.4593614867879988;0.11000552925336876;0.7990021487839125;0.4979191075028418;0.19717547038739755;0.8760751107882053;0.26817446453507965;0.236938239526728;0.3725929374435581;0.38590367438170864;0.2330906335908368;0.1757793851373169;12
9;0.3259340613910132;1.2830556865487357;0.957062889404896;0.3985057859208344;0.8416296447900222;0.7867305884480355;0.6407810628085276;0.4960170563005963;0.4730558079567437;0.4742346903804758;0.9435772072588338;0.7377992786001075;0.04157300007719576;0.7577803562910359;0.5134010046628572;6
10;1.32182815867856;0.9352188079517696;0.4660871582096189;0.17842575465495308;0.3920015560975896;0.939592762492396;0.21291857353772486;0.8132962685873364;0.4036485745123985;0.5867209203607526;0.18599888820708946;0.8123225153256552;0.5808474098403078;0.44693254671505617;0.7980814085184769;15
11;0.8510344546859571;0.6567462352636013;1.2359425390027166;0.5442718538046066;0.4184165928919945;0.019156659294274573;0.6837737189564459;0.4880979284311122;0.2205796667918736;0.5505430443521228;0.5225911014240587;0.4875524840259784;0.2630314829932197;0.5272857877819569;0.984465729649342;33
12;0.5491082171945172;0.8346708617628482;1.4872682845819707;0.6234234538649168;0.6295569318340934;0.9099728957380936;0.9625194861365556;0.5850998046447861;0.16489774225472364;0.3915933195187172;0.9445549314394209;0.3433911820290876;0.7050703692167803;0.4628868012306115;0.3867906924061323;14
13;0.3607443294939453;1.254106464934654;1.4270574642918417;0.5284325608070639;0.8216899251669567;0.6384770239256826;0.8628887236960271;0.6366265358085796;0.9992970638325172;0.5177800757864468;0.3276166428170912;0.09877323422038367;0.5667664109326558;0.21520793557506301;0.011790786015651472;11
14;1.79932539728959;0.11030262177784488;0.9157260533709688;0.2992153194710486;0.038977422039178526;0.9762138214410648;0.5514530903290964;0.07171621104017363;0.3400678182557785;0.24290239320290574;0.10735082264491437;0.7703305798981903;0.3506015501604879;0.18764273510538387;0.9126526897010924;10
15;0.2529911343395431;0.18314069794788496;1.4091827057934494;0.8611482675242943;0.3988982320929865;0.5463364369415724;0.4503754433525336;0.6935991961301103;0.21384608234056252;0.3237989027222062;0.7398929211942804;0.18257051109354488;0.6960219436832935;0.5267350639173305;0.1984910588993258;5
16;0.6806615784147392;0.7018949973289573;1.5981245531527917;0.6504640235879905;0.5097764908142955;0.6890371706655921;0.5734280110709841;0.7701183250622144;0.39304824950045697;0.95858995345849;0.9780518638916048;0.20688114103831096;0.47600130499994703;0.7901634602124982;0.12793637355079082;22
17;0.5408672336279248;0.21162857407234367;2.0843177289333004;0.8269942449947519;0.2374359186391995;0.9405656289952614;0.8206581888957429;0.05175957617410532;0.0018546444788833949;0.1769724468817302;0.5384258342896637;0.5380161925572794;0.5117696263039637;0.2421858885197024;0.006176726181589982;10
18;0.621852550099268;0.5306132737475644;1.899413455402468;0.7412667513367626;0.44970451348637697;0.8747145660855735;0.3869552606977636;0.00416016477543169;0.14671016115390936;0.036668150912382534;0.27219584047686857;0.26262046616166496;0.6092464159227995;0.14829473524345752;0.20769529021080446;12
19;0.723678144019108;0.32345795584783266;1.6933230055847928;0.7212759344416543;0.2675879564221255;0.18489581573779806;0.8103569781379844;0.09103385366211986;0.12966964143477233;0.6795967716248821;0.44959740808510795;0.3896631053405837;0.6618457463249275;0.010483535808700222;0.2615190614258664;11
20;0.060934792457976075;0.6185642377119146;1.5156111960722722;0.7522362870361898;0.9374882448038304;0.6756846326472121;0.4984717663009704;0.7753276768572211;0.5650518641680664;0.3038220936030327;0.4809252809688229;0.31502980186822194;0.03802220884553236;0.5689491672974201;0.9857641298460283;7
21;0.7065700481392481;1.2841399613949174;0.9734691921359654;0.3732323560041624;0.6797685326126529;0.12209436620872875;0.09265119136205607;0.6329534580231057;0.28088024180528104;0.271403482721768;0.8902181861349505;0.20350880304878385;0.29111026005297874;0.5472299926670656;0.7162906422878741;26
22;0.4836648581265484;1.0874734283121117;1.2608657928359344;0.5183542190485908;0.7335823034699799;0.05897286721395174;0.5862311270911057;0.5827940240413279;0.6280576998587105;0.7151821033559417;0.2432477163004303;0.7259857214487203;0.9704579999939804;0.37776587369213854;0.1696800416644248;12
23;0.6779270593195353;0.9482367371575272;0.7266174679802905;0.35486340252004445;0.6048635482698365;0.5629708417403819;0.6241303170861895;0.6916930109469659;0.4317795421564923;0.17991750066379308;0.6170504873291432;0.4229665187292521;0.6325323784184673;0.9041228327912436;0.5991675004270005;22
24;1.6486185743111148;0.5431151706671372;0.6299623618110691;0.2216363801383444;0.20259745276988853;0.9284535253338928;0.8365892676585028;0.4136489690595457;0.9311211786608664;0.2945723034278968;0.6738056619752129;0.7172617881863738;0.6888663331880759;0.2648266564894983;0.8818126040333202;26
25;1.8995278086468423;0.8799527291061201;0.9541867785950668;0.2722594277217476;0.2761760358945605;0.8426697086890286;0.9906642604994588;0.6920088539022851;0.1968049230163482;0.06791256925753045;0.6374591877896553;0.9627320453311204;0.9635895155646442;0.39123519887560704;0.9089277141641527;38
26;0.8767112141243663;1.7107180939844184;0.7475376199279381;0.2361116676912957;0.6985078236250469;0.23648859909866984;0.01228818716462895;0.065967082988418;0.8533406784733403;0.6286652366488839;0.9701571829830608;0.5163602316340227;0.4345610082637022;0.8703755942170048;0.7503095173357238;34
27;0.7691510115842644;1.4865456814068367;0.2902005685760162;0.10929333345709796;0.6960286823734421;0.8911983994109641;0.13587055124756586;0.4717383171195582;0.33972742349978585;0.4645137436466881;0.16923538847660494;0.4012564141857058;0.25957109654894817;0.055128131148917583;0.39768066787521417;4
28;0.5880192718378392;0.4590828371370082;1.3690958945142695;0.6823835943815705;0.4220015403061703;0.3712818778826759;0.5304526591701411;0.6842405267374531;0.1133256639158463;0.6452062839858647;0.18570533267322534;0.9076846081388724;0.7484679969011298;0.4186170117584888;0.561318239855334;11
